Category;Description;Short_name;Name_and_Category
J;Translation_ribosomal_structure_and_biogenesis;Translation;Translation (J)
A;RNA_processing_and_modification;RNA processing;RNA processing (A)
K;Transcription;Transcription;Transcription (K)
L;Replication_recombination_and_repair;Replication and repair;Replication and repair (L)
B;Chromatin_structure_and_dynamics;Chromatin dynamics;Chromatin dynamics (B)
D;Cell_cycle_control_cell_division_chromosome_partitioning;Cell cycle and mitosis;Cell cycle and mitosis (D)
Y;Nuclear_structure;Nuclear structure;Nuclear structure (Y)
V;Defense_mechanisms;Defense mechanisms;Defense mechanisms (V)
T;Signal_transduction_mechanisms;Signal transduction;Signal transduction (T)
M;Cell_wall/membrane/envelope_biogenesis;Wall/membrane biogenesis;Wall/mem. biogenesis (M)
N;Cell_motility;Motility;Motility (N)
Z;Cytoskeleton;Cytoskeleton;Cytoskeleton (Z)
W;Extracellular_structures;Extracellular structures;Extracellular structures (W)
U;Intracellular_trafficking_secretion_and_vesicular_transport;Cell transport;Cell transport (U)
O;Posttranslational_modification_protein_turnover_chaperones;Molecular chaperones;Molecular chaperones (O)
C;Energy_production_and_conversion;Energy;Energy (C)
G;Carbohydrate_transport_and_metabolism;Sugar metabolism;Sugar metabolism (G)
E;Amino_acid_transport_and_metabolism;Amino metabolism;Amino metabolism (E)
F;Nucleotide_transport_and_metabolism;Nucleotide metabolism;Nucleotide metabolism (F)
H;Coenzyme_transport_and_metabolism;Coenzyme metabolism;Coenzyme metabolism (H)
I;Lipid_transport_and_metabolism;Lipid metabolism;Lipid metabolism (I)
P;Inorganic_ion_transport_and_metabolism;Inorg. ion metabolism;Inorg. ion metabolism (P)
Q;Secondary_metabolites_biosynthesis_transport_and_catabolism;biosynthesis;biosynthesis (Q)
R;General_function_prediction_only;General function;General function (R)
S;Function_unknown;Unknown;Unknown (S)
