"datetime","Event","Stn","CTD","Lat","Long","Depth","Bottle","Sample_ID","Vol","Notes","Study","filter_type","lubri"
"12/8/21 1715",198,"600.04",33,-64.933,-64.402,0,3,86,2,"","diel","MCE",2021-12-08 17:15:00
"12/8/21 1715",198,"600.04",33,-64.933,-64.402,0,3,87,2,"","diel","MCE",2021-12-08 17:15:00
"12/8/21 1715",198,"600.04",33,-64.933,-64.402,0,3,88,2,"","diel","MCE",2021-12-08 17:15:00
"12/8/21 2200",201,"600.04",34,-64.933,-64.402,0,21,89,2,"","diel","MCE",2021-12-08 22:00:00
"12/8/21 2200",201,"600.04",34,-64.933,-64.402,0,21,92,2,"","diel","MCE",2021-12-08 22:00:00
"12/8/21 2200",201,"600.04",34,-64.933,-64.402,0,21,94,2,"","diel","MCE",2021-12-08 22:00:00
"12/9/21 0216",203,"600.04",35,-64.933,-64.402,0,6,95,2,"","diel","MCE",2021-12-09 02:16:00
"12/9/21 0216",203,"600.04",35,-64.933,-64.402,0,6,96,2,"","diel","MCE",2021-12-09 02:16:00
"12/9/21 0216",203,"600.04",35,-64.933,-64.402,0,6,97,2,"","diel","MCE",2021-12-09 02:16:00
"12/9/21 0700",204,"600.04",36,-64.933,-64.402,0,21,102,2,"","diel","MCE",2021-12-09 07:00:00
"12/9/21 0700",204,"600.04",36,-64.933,-64.402,0,21,103,2,"","diel","MCE",2021-12-09 07:00:00
"12/9/21 0700",204,"600.04",36,-64.933,-64.402,0,21,104,2,"","diel","MCE",2021-12-09 07:00:00
"12/10/21 0130",213,"600.04",37,-64.933,-64.402,0,23,107,2,"","diel","MCE",2021-12-10 01:30:00
"12/10/21 0130",213,"600.04",37,-64.933,-64.402,0,23,111,2,"","diel","MCE",2021-12-10 01:30:00
"12/10/21 0130",213,"600.04",37,-64.933,-64.402,0,23,112,2,"","diel","MCE",2021-12-10 01:30:00
"12/10/21 0700",214,"600.04",38,-64.933,-64.402,0,5,115,2,"","diel","MCE",2021-12-10 07:00:00
"12/10/21 0700",214,"600.04",38,-64.933,-64.402,0,5,116,2,"","diel","MCE",2021-12-10 07:00:00
"12/10/21 0700",214,"600.04",38,-64.933,-64.402,0,5,117,2,"","diel","MCE",2021-12-10 07:00:00
"12/10/21 1710",222,"600.04",43,-64.933,-64.402,0,4,119,2,"filtered too fast","diel","MCE",2021-12-10 17:10:00
"12/10/21 1710",222,"600.04",43,-64.933,-64.402,0,4,120,2,"","diel","MCE",2021-12-10 17:10:00
"12/10/21 1710",222,"600.04",43,-64.933,-64.402,0,4,121,2,"","diel","MCE",2021-12-10 17:10:00
"12/10/21 2245",223,"600.04",44,-64.933,-64.402,0,4,125,2,"","diel","MCE",2021-12-10 22:45:00
"12/10/21 2245",223,"600.04",44,-64.933,-64.402,0,4,126,2,"","diel","MCE",2021-12-10 22:45:00
"12/10/21 2245",223,"600.04",44,-64.933,-64.402,0,4,127,2,"","diel","MCE",2021-12-10 22:45:00
